model,accuracy,precision,recall,f1,roc_auc
Dummy Classifier,0.75,0.75,1.0,0.8571428571428571,0.5
Logistic Regression,0.84,0.9682539682539683,0.8133333333333334,0.8840579710144928,0.9095333333333333
Random Forest,0.835,0.9465648854961832,0.8266666666666667,0.8825622775800712,0.9065000000000001
XGBoost,0.8525,0.9057239057239057,0.8966666666666666,0.9011725293132329,0.9155333333333333
