model,accuracy,precision,recall,f1,roc_auc
Dummy Classifier,0.75,0.75,1.0,0.8571428571428571,0.5
Logistic Regression,0.62,0.8663366336633663,0.5833333333333334,0.6972111553784861,0.6802333333333335
Random Forest,0.64,0.793233082706767,0.7033333333333334,0.7455830388692579,0.6534
XGBoost,0.7275,0.7506561679790026,0.9533333333333334,0.8399412628487518,0.6527666666666667
