model,accuracy,precision,recall,f1,roc_auc
Dummy Classifier,0.75,0.75,1.0,0.8571428571428571,0.5
Logistic Regression,0.825,0.96,0.8,0.8727272727272727,0.9155555555555557
Random Forest,0.8583333333333333,0.974025974025974,0.8333333333333334,0.8982035928143712,0.9037037037037037
XGBoost,0.85,0.9,0.9,0.9,0.8944444444444445
